,path,split_path,size
45,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Papilio/https:||live.staticflickr.com|65535|51048909288_4af9396f25.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Papilio', 'https:||live.staticflickr.com|65535|51048909288_4af9396f25.jpg']",1
46,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae']",16
47,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Lycaena,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae', 'Lycaena']",1
48,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Lycaena/https:||live.staticflickr.com|65535|51025143113_1198a004ab.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae', 'Lycaena', 'https:||live.staticflickr.com|65535|51025143113_1198a004ab.jpg']",1
49,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Lycaena/https:||live.staticflickr.com|65535|51025974217_543d1571dc.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae', 'Lycaena', 'https:||live.staticflickr.com|65535|51025974217_543d1571dc.jpg']",1
50,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Thecla,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae', 'Thecla']",1
51,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Thecla/https:||live.staticflickr.com|65535|51025974007_5729305fe4.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae', 'Thecla', 'https:||live.staticflickr.com|65535|51025974007_5729305fe4.jpg']",1
52,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Thecla/https:||live.staticflickr.com|65535|51025142438_2b9e45ebb4.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Lycaenidae', 'Thecla', 'https:||live.staticflickr.com|65535|51025142438_2b9e45ebb4.jpg']",1
53,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Malpighiales,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Malpighiales']",75
54,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Malpighiales/Euphorbiaceae,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Malpighiales', 'Euphorbiaceae']",6
